scenarioId,stage,expectedClassName,sampleCount,pythonDetectedCount,frontendDetectedCount,frontendDetectionRateOnPythonDetected,top1ClassMatchRateOnPythonDetected,meanTop1IoU,meanTop1ScoreGapAbs,failureSamples
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,amanita_muscaria,1,1,1,1,0,0.888864,0.234935,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_muscaria\amanita_muscaria_0049.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,amanita_bisulcata,1,1,1,1,0,0.649494,0.293389,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_bisulcata\amanita_bisulcata_0039.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,omphalotus_olearius,1,1,1,1,0,0.485456,0.450917,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\omphalotus_olearius\omphalotus_olearius_0011.jpeg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,chanterelle,1,1,1,1,0,0.018678,0.106999,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chanterelle\chanterelle_0023.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,amanita_phalloides,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\amanita_phalloides\amanita_phalloides_0020.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,coral_mushroom_mix,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\coral_mushroom_mix\coral_mushroom_mix_0002.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,russula_green,1,1,1,1,0,0,0.323007,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_green\russula_green_0048.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,chlorophyllum_molybdites,1,1,1,1,0,0,0.273848,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\chlorophyllum_molybdites\chlorophyllum_molybdites_0043.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,black_tiger_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\black_tiger_mushroom\black_tiger_mushroom_0113.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,truffle,1,1,1,1,0,0,0.495424,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\truffle\truffle_0019.png
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,termitomyces,1,0,0,,,,,
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,russula_emetica,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\russula_emetica\russula_emetica_0056.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,entoloma_sinuatum,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\entoloma_sinuatum\entoloma_sinuatum_0049.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,matsutake,1,1,1,1,0,0.061537,0.379137,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\matsutake\matsutake_0038.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,bolete_bluebury,1,1,1,1,0,0,0.328597,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\bolete_bluebury\bolete_bluebury_0042.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,ganba_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\ganba_mushroom\ganba_mushroom_0026.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,gyromitra_esculenta,1,1,1,1,0,0.40179,0.285541,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\gyromitra_esculenta\gyromitra_esculenta_0003.jpg
pre=direct_resize|conf=0.25|iou=0.65|nms=global|fb=off,baseline,cereal_mushroom,1,1,0,0,0,,,D:\python\YOLOV8\yunnan_mushroom\dataset\images\test\cereal_mushroom\cereal_mushroom_0002.png
